Lineage name	Scotland	England	Northern Ireland	Wales	Date range	Global lineage	Total
UK1979	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-28, Jun-13	B.1.1	10 taxa
UK529	10 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Aug-06, Aug-21	B.1	10 taxa
UK1295	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-14	B.1.1	10 taxa
UK1612	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Aug-09, Aug-21	B.1.1	10 taxa
UK2061	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-17, Jul-18	B.1.1	10 taxa
UK1570	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-05, Jun-23	B.1.1	10 taxa
UK1207	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-26, May-04	B.1	10 taxa
UK1244	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Jul-15, Jul-25	B.1, B.1.115	10 taxa
UK200	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-19	B.2.1	10 taxa
UK2030	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Apr-26, Jul-22	B.1.1	10 taxa
UK120	3 (30.0%)	7 (70.0%)	0 (0%)	0 (0%)	Mar-04, Jun-07	B	10 taxa
UK422	0 (0%)	10 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-21	B.1	10 taxa
UK1743	2 (22.22%)	7 (77.78%)	0 (0%)	0 (0%)	Apr-01, Jun-30	B.1.1	9 taxa
UK1133	0 (0%)	0 (0%)	0 (0%)	9 (100.0%)	Jun-02, Jun-15	B.1.1.29	9 taxa
UK1759	1 (11.11%)	8 (88.89%)	0 (0%)	0 (0%)	May-13, Aug-11	B.1	9 taxa
UK2095	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Jul-03, Aug-10	B.1.1	9 taxa
UK1361	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Jul-15, Aug-02	B.1.1.15, B.1.1	9 taxa
UK871	0 (0%)	0 (0%)	9 (100.0%)	0 (0%)	Apr-06, May-01	B.1.1	9 taxa
UK1960	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-31, May-01	B.1.1	9 taxa
UK1817	0 (0%)	8 (88.89%)	0 (0%)	1 (11.11%)	Apr-04, Jun-23	B.1.1	9 taxa
UK1982	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-20	B.1.1	9 taxa
UK1273	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Jul-15, Jul-27	B.1.1	9 taxa
UK605	8 (88.89%)	1 (11.11%)	0 (0%)	0 (0%)	Mar-30, Apr-10	B.1	9 taxa
UK1998	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-10, May-01	B.1.1	9 taxa
UK882	0 (0%)	5 (55.56%)	4 (44.44%)	0 (0%)	May-21, Aug-17	B.1	9 taxa
UK49	1 (11.11%)	7 (77.78%)	1 (11.11%)	0 (0%)	Mar-18, May-07	B.9, B.2	9 taxa
UK5503	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Mar-31, May-13	B.1	9 taxa
UK1830	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Jun-02, Jul-02	B.1.1	9 taxa
UK151	3 (33.33%)	6 (66.67%)	0 (0%)	0 (0%)	Mar-14, Apr-02	B.3	9 taxa
UK927	0 (0%)	2 (22.22%)	3 (33.33%)	4 (44.44%)	Apr-15, Jun-30	B.1.1	9 taxa
UK2007	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Apr-03, Jun-18	B.1.1	9 taxa
UK1247	0 (0%)	9 (100.0%)	0 (0%)	0 (0%)	Aug-05, Aug-21	B.1	9 taxa
UK43	9 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-18, Mar-31	A.5	9 taxa
UK1363	0 (0%)	1 (11.11%)	8 (88.89%)	0 (0%)	Jul-16, Aug-21	B.1	9 taxa
UK2204	0 (0%)	2 (25.0%)	6 (75.0%)	0 (0%)	Apr-11, Jun-10	B.1	8 taxa
UK696	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Jun-11, Jun-23	B.1.1	8 taxa
UK343	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-28	B.1.105	8 taxa
UK893	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-15	B.1	8 taxa
UK1860	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-30, Jun-14	B.1.1	8 taxa
UK349	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-13, May-07	B.2.2	8 taxa
UK1792	0 (0%)	2 (25.0%)	6 (75.0%)	0 (0%)	Aug-07, Aug-21	B.1.1	8 taxa
UK1210	0 (0%)	4 (50.0%)	4 (50.0%)	0 (0%)	Jul-14, Jul-29	B.1.1.1, B.1.1	8 taxa
UK245	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-27	B.2	8 taxa
UK703	1 (12.5%)	6 (75.0%)	1 (12.5%)	0 (0%)	Mar-29, Apr-17	B.1.1	8 taxa
UK1216	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-29, May-02	B.1, B.1.5	8 taxa
UK1497	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-28, May-05	B.1.1.1	8 taxa
UK1717	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	May-25, Jun-16	B.1.1	8 taxa
UK1362	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-02, Aug-12	B.1.1.15, B.1.1	8 taxa
UK842	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Apr-02, Jun-06	B.1	8 taxa
UK928	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-11, May-17	B.1.1	8 taxa
UK713	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-04	B.1.1	8 taxa
UK2063	0 (0%)	7 (87.5%)	1 (12.5%)	0 (0%)	Apr-02, Apr-22	B.1, B.1.1	8 taxa
UK86	0 (0%)	8 (100.0%)	0 (0%)	0 (0%)	Mar-23, Mar-30	B.1	8 taxa
UK1224	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Jul-12, Jul-27	B.1.1.1	7 taxa
UK511	2 (28.57%)	3 (42.86%)	2 (28.57%)	0 (0%)	Jul-24, Aug-13	B.1	7 taxa
UK1667	5 (71.43%)	2 (28.57%)	0 (0%)	0 (0%)	Apr-17, Jun-02	B.1.9, B.1	7 taxa
UK512	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, Apr-21	B.1.5.6, B.1.5	7 taxa
UK689	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Jul-15, Aug-21	B.1.1	7 taxa
UK1359	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	May-11, May-18	B.1.1	7 taxa
UK1583	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Aug-09, Aug-18	B.1.1	7 taxa
UK1893	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	May-24, Aug-17	B.1.1	7 taxa
UK1090	1 (14.29%)	6 (85.71%)	0 (0%)	0 (0%)	Jul-14, Aug-17	B.1	7 taxa
UK1827	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Jul-16, Aug-18	B.1.1	7 taxa
UK153	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-03	B.2	7 taxa
UK697	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Jun-08, Jul-02	B.1	7 taxa
UK319	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-08, Aug-11	B.1.79, B.1	7 taxa
UK1844	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-24, Aug-18	B.1.1	7 taxa
UK889	1 (14.29%)	6 (85.71%)	0 (0%)	0 (0%)	May-12, Aug-18	B.1	7 taxa
UK1314	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-31, Jun-11	B.1.1	7 taxa
UK607	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-18, Jun-16	B	7 taxa
UK1124	1 (14.29%)	6 (85.71%)	0 (0%)	0 (0%)	Apr-07, Jul-26	B.1.1.32, B.1.1	7 taxa
UK2051	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Jun-08, Jul-28	B.1.1	7 taxa
UK1269	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Jun-21, Aug-26	B.1.1.1, B.1.1	6 taxa
UK887	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-21, Jul-04	B.1.1	6 taxa
UK1723	1 (16.67%)	5 (83.33%)	0 (0%)	0 (0%)	Mar-31, Jun-11	B.1, B.1.30	6 taxa
UK1191	0 (0%)	5 (83.33%)	1 (16.67%)	0 (0%)	Mar-29, Aug-14	B.1.1	6 taxa
UK947	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Jul-16, Jul-18	B.1.1	6 taxa
UK650	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	May-24, Aug-29	B.1.1	6 taxa
UK478	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-23, Jul-15	B.1, B.1.5	6 taxa
UK1202	0 (0%)	5 (83.33%)	0 (0%)	1 (16.67%)	Jun-11, Jun-21	B.1.1	6 taxa
UK2034	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	May-17, Jun-28	B.1.1	6 taxa
UK1346	4 (66.67%)	2 (33.33%)	0 (0%)	0 (0%)	Mar-10, Jul-10	B.1.1	6 taxa
UK1263	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-09, Mar-13	B.1.1	6 taxa
UK433	3 (50.0%)	3 (50.0%)	0 (0%)	0 (0%)	Mar-22, Apr-07	B	6 taxa
UK1932	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-23, Jul-13	B.1.1	6 taxa
UK552	4 (66.67%)	2 (33.33%)	0 (0%)	0 (0%)	Mar-23, Mar-29	A.1	6 taxa
UK628	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-09	B.1	6 taxa
UK1129	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-29, May-18	B.1.1	6 taxa
UK450	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-15, Jun-17	B.1	6 taxa
UK2087	0 (0%)	5 (83.33%)	1 (16.67%)	0 (0%)	Mar-29, Jul-11	B.1.1	6 taxa
UK1064	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-19	B.1	6 taxa
UK564	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Jun-07, Jun-25	B.1	6 taxa
UK1366	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-24, Jun-11	B.1.1	6 taxa
UK1035	3 (50.0%)	3 (50.0%)	0 (0%)	0 (0%)	Apr-29, Aug-07	B.1.1.28, B.1.1	6 taxa
UK747	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-18	B.1	6 taxa
UK1519	1 (16.67%)	4 (66.67%)	1 (16.67%)	0 (0%)	Apr-21, Jul-03	B.1	6 taxa
