Lineage name	England	Wales	Northern Ireland	Scotland	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK32	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-10, May-01	7	B.1.1	44	0.0795
UK5501	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-16, Jun-01	7	B.1.12	13	0.5897
UK323	2 (28.57%)	1 (14.29%)	0 (0%)	4 (57.14%)	Mar-23, May-06	7	B.1.35, B.1, B.1.5	39	0.188
UK520	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-08	7	B.2.1, B.2	67	0.0622
UK390	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, May-01	7	B.1.5	44	0.1326
UK451	0 (0%)	6 (85.71%)	0 (0%)	1 (14.29%)	Mar-20, Apr-05	7	B.2.1	70	0.0381
UK80	4 (57.14%)	3 (42.86%)	0 (0%)	0 (0%)	Mar-31, Apr-20	7	B.1.1.p15	55	0.0606
UK5640	2 (28.57%)	0 (0%)	1 (14.29%)	4 (57.14%)	Mar-20, Apr-27	7	B.1.1	48	0.1319
UK433	4 (57.14%)	0 (0%)	0 (0%)	3 (42.86%)	Mar-22, May-03	7	B	42	0.1667
UK263	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-20, Apr-13	6	B.1.p11	62	0.0774
UK364	1 (16.67%)	4 (66.67%)	1 (16.67%)	0 (0%)	Mar-19, May-14	6	B.1	31	0.3613
UK485	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Mar-02, Apr-06	6	B.1.1	69	0.1014
UK521	2 (33.33%)	4 (66.67%)	0 (0%)	0 (0%)	Mar-27, Apr-08	6	B.1.1	67	0.0358
UK2014	2 (33.33%)	0 (0%)	0 (0%)	4 (66.67%)	Apr-11, Jun-05	6	B.1	9	1.2222
UK799	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-07	6	B.1	99	0.0121
UK713	5 (83.33%)	1 (16.67%)	0 (0%)	0 (0%)	Apr-03, May-27	6	B.1.1	18	0.6
UK629	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-13	6	B.1	62	0.0677
UK464	4 (66.67%)	2 (33.33%)	0 (0%)	0 (0%)	Mar-25, Apr-19	6	B.1	56	0.0893
UK185	4 (66.67%)	0 (0%)	1 (16.67%)	1 (16.67%)	Mar-10, May-15	6	B.3	30	0.44
UK5903	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Mar-25, Apr-18	6	B.2	57	0.0842
UK270	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Mar-04, Apr-01	6	B	74	0.0757
UK552	1 (16.67%)	0 (0%)	0 (0%)	5 (83.33%)	Mar-18, Mar-30	6	A.1	76	0.0316
UK5215	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Mar-29, May-13	6	B.1.1	32	0.2812
UK269	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Jun-02	6	B.1.1	12	1.15
UK574	4 (66.67%)	2 (33.33%)	0 (0%)	0 (0%)	Mar-26, Apr-13	6	B.2.1	62	0.0581
UK330	5 (83.33%)	1 (16.67%)	0 (0%)	0 (0%)	Mar-23, Apr-08	6	B.1.1	67	0.0478
UK654	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-27, Mar-08	6	B.2.5	98	0.0204
