Lineage name	Northern Ireland	England	Scotland	Wales	Date range	Total sequences	Global lineage	Time since last sample (days)
UK158	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-10, Mar-18	7	B.2.1	53
UK1676	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-16	7	B.3	24
UK4932	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-19	7	B.2.1	21
UK3733	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-29	7	B.1	11
UK3640	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-22, May-04	7	B.1	6
UK3986	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-11	7	B.1	29
UK7831	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-13	7	B.1.10	27
UK7969	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-31, Apr-16	7	B.1	24
UK99	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-22, Apr-27	7	B.1	13
UK2869	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Apr-01, Apr-19	7	B.1	21
UK4816	0 (0%)	1 (14.29%)	6 (85.71%)	0 (0%)	Apr-02, Apr-26	7	B.1	14
UK1631	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Feb-28, Mar-05	7	B.4	66
UK978	0 (0%)	2 (28.57%)	0 (0%)	5 (71.43%)	Mar-20, Apr-09	7	B.2.1	31
UK3656	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-26, Apr-06	7	B.1	34
UK1444	0 (0%)	2 (28.57%)	0 (0%)	5 (71.43%)	Mar-22, Apr-12	7	B.2	28
UK3898	0 (0%)	4 (57.14%)	0 (0%)	3 (42.86%)	Apr-04, Apr-20	7	B.1	20
UK2163	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Apr-06, Apr-17	7	B.1.13	23
UK3829	0 (0%)	6 (85.71%)	0 (0%)	1 (14.29%)	Mar-23, Apr-13	7	B.1	27
UK48	0 (0%)	6 (85.71%)	0 (0%)	1 (14.29%)	Mar-06, Apr-11	7	B.2	29
UK32	0 (0%)	6 (85.71%)	1 (14.29%)	0 (0%)	Mar-05, Apr-17	7	B.2.2	23
UK7881	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-30, Apr-17	7	B.1	23
UK552	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-08	7	B.1	32
UK2815	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-27	6	B.1	13
UK693	0 (0%)	1 (16.67%)	5 (83.33%)	0 (0%)	Mar-31, May-02	6	B.1.11	8
UK1698	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-16	6	B.3	24
UK3176	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-15, Apr-15	6	B.1	25
UK6615	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-27	6	B.1	13
UK1494	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-01, Mar-07	6	B.1	64
UK174	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-14	6	B.1	26
UK793	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-06, Apr-10	6	B.1	30
UK3777	0 (0%)	1 (16.67%)	5 (83.33%)	0 (0%)	Mar-30, Apr-22	6	B.1	18
UK19	0 (0%)	2 (33.33%)	0 (0%)	4 (66.67%)	Mar-06, Apr-13	6	B.1	27
UK2920	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-25, Apr-13	6	B.1	27
UK54	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-14, Mar-28	6	B.2.1, B.2	43
UK4624	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-30	6	B.1	10
UK4737	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-11, Apr-16	6	B.1	24
UK3813	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-03, Apr-28	6	B.1	12
UK3587	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-17	6	B.1	23
UK2916	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-05, Apr-11	6	B.1	29
UK4228	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-14	6	B.1	26
UK4133	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-27, Apr-09	6	B.1	31
UK5908	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-11, Apr-28	6	B.1.5	12
UK5039	0 (0%)	5 (83.33%)	1 (16.67%)	0 (0%)	Mar-18, Apr-02	6	B.2.1, B.2	38
UK2594	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-01, Apr-28	6	B.1.11	12
UK1962	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-23, May-05	6	B.1.5	5
UK103	0 (0%)	1 (16.67%)	5 (83.33%)	0 (0%)	Mar-21, Apr-28	6	B.1	12
UK804	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-18, Apr-14	6	B.1	26
UK3801	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-10, May-05	6	B.1	5
UK4806	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-14	6	B.1	26
UK2956	0 (0%)	2 (33.33%)	4 (66.67%)	0 (0%)	Mar-31, Apr-21	6	B.1	19
UK367	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-08, Apr-26	6	B.1	14
UK4807	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-15	6	B.1	25
UK120	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-20, Mar-31	6	B.1, B.1.7	40
UK3805	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-13	6	B.1	27
UK3844	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-21	6	B.1	19
UK473	0 (0%)	4 (66.67%)	2 (33.33%)	0 (0%)	Mar-29, May-03	6	B.1	7
UK1075	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-24, Mar-30	6	B.1	41
UK5132	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-21, Mar-30	6	B.2.1, B.2	41
UK3723	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-18, May-04	6	B.1	6
UK1975	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-13, Apr-25	6	B.1.5	15
UK5596	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-21, Mar-30	6	B	41
UK356	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-23, Apr-07	6	B.2.1	33
UK1109	0 (0%)	3 (50.0%)	0 (0%)	3 (50.0%)	Mar-21, Apr-13	6	B.2.1	27
UK4738	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-17	6	B.1	23
UK188	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-05	6	B.2	35
UK204	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-12	6	B.1.13	28
UK5700	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-04	6	B.1	36
UK134	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-19, May-02	6	B.2.1	8
UK5701	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-01, Apr-23	6	B.1	17
UK115	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-06	6	B.8	34
UK7807	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-03, Apr-20	6	B.1.10	20
UK951	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-21, Apr-05	6	B.1	35
UK620	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-24, Mar-29	6	B.2.1	42
UK7738	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-12	6	B.1	28
UK649	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-04, Mar-04	6	B.1	67
UK3849	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-31, Apr-20	6	B.1	20
UK3862	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-06, Apr-18	6	B.1	22
UK7184	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-10, Apr-18	6	B.1, B.1.5	22
UK189	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Mar-30, Apr-04	6	B.1	36
UK5598	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-19, Mar-31	6	B.3	40
UK6587	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-07, Apr-19	6	B.1	21
UK7957	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-02, Apr-25	6	B.1	15
UK864	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-13, Apr-13	6	B.2.1	27
UK4946	0 (0%)	1 (16.67%)	0 (0%)	5 (83.33%)	Mar-31, Apr-11	6	B.2.1	29
UK4009	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-26	6	B.1	14
UK634	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-16	6	B.1	24
UK5738	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-29, Apr-17	6	B.1	23
UK198	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-20, Apr-06	6	B.2.2	34
UK7632	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-05	6	B.8	35
