Lineage name	Date range	Total	Global lineage	Time since last sample	Activity score
UK743	Feb-24, Jun-14	8 taxa	B.1.102, B.1.5	88 days	0.1802
UK2065	Mar-29, May-14	8 taxa	B.1.1	119 days	0.0552
UK941	Apr-02, Apr-22	8 taxa	B.1.1	141 days	0.0203
UK520	Mar-14, Apr-08	8 taxa	B.2.1	155 days	0.023
UK1767	Mar-26, Apr-10	8 taxa	B.1.1	153 days	0.0123
UK437	Mar-23, May-14	8 taxa	B.1	119 days	0.0437
UK799	Mar-01, Mar-07	8 taxa	B.1	187 days	0.0046
UK739	Mar-01, Mar-08	8 taxa	B.4	186 days	0.0054
UK1996	Apr-02, Jul-20	8 taxa	B.1.1.1, B.1.1	52 days	0.2329
UK288	Mar-12, Apr-04	8 taxa	B.2.1	159 days	0.0132
UK870	Mar-16, Apr-23	8 taxa	B.1.1	140 days	0.0339
UK1398	Mar-30, Jun-07	8 taxa	B.1.1	95 days	0.083
UK40	Mar-27, Jun-23	8 taxa	B, B.16	79 days	0.0049
UK5084	Mar-29, Jun-18	8 taxa	B.1	84 days	0.0898
UK343	Mar-21, Apr-28	8 taxa	B.1.105	135 days	0.0402
UK1609	Mar-11, Jun-14	8 taxa	B.1.1	88 days	0.1542
UK1366	Mar-24, Jun-11	8 taxa	B.1.1	91 days	0.124
UK1932	Mar-23, Jul-13	8 taxa	B.1.1	59 days	0.2712
UK1515	Apr-04, Jun-15	8 taxa	B.1.1	87 days	0.1182
UK1120	Apr-13, Aug-10	8 taxa	B.1.1	31 days	0.5484
UK946	Mar-25, Apr-23	8 taxa	B.1	140 days	0.0259
UK1262	Apr-02, Jun-16	8 taxa	B.1.1	86 days	0.1246
UK747	Mar-19, Apr-18	8 taxa	B.1	145 days	0.0296
UK2010	Mar-17, Apr-15	8 taxa	B.1.1	148 days	0.028
UK1893	May-10, Aug-17	8 taxa	B.1.1	24 days	0.5893
UK1346	Mar-10, Jul-10	8 taxa	B.1.1	62 days	0.0833
UK158	Mar-11, Apr-02	7 taxa	B.2.4	161 days	0.0228
UK1064	Apr-05, Apr-19	7 taxa	B.1	144 days	0.0162
UK197	Mar-10, Apr-06	7 taxa	B.2.1	157 days	0.0287
UK728	Mar-19, Apr-01	7 taxa	B.2.1	162 days	0.0134
UK856	Mar-21, Apr-20	7 taxa	B.1.5	143 days	0.03
UK2082	Mar-14, Aug-11	7 taxa	B.1.1	30 days	0.7143
UK1119	Apr-04, Jul-16	7 taxa	B.1.1	56 days	0.0145
UK311	Mar-25, Apr-18	7 taxa	B.2	145 days	0.0236
UK1191	Mar-29, Aug-14	7 taxa	B.1.1	27 days	0.7302
UK697	Jun-08, Jul-02	7 taxa	B.1	70 days	0.0571
UK689	Jul-15, Aug-21	7 taxa	B.1.1	20 days	0.3083
UK247	Mar-17, Apr-23	7 taxa	B.1	140 days	0.044
UK1967	Mar-30, Apr-21	7 taxa	B.1.1	142 days	0.0221
UK889	Apr-19, Aug-18	7 taxa	B.1	23 days	0.587
UK1583	Aug-09, Aug-18	7 taxa	B.1.1	23 days	0.0652
UK1105	Jul-03, Aug-20	7 taxa	B.1	21 days	0.1203
UK1347	May-18, Jun-04	7 taxa	B.1.1	98 days	0.0255
UK1275	Mar-22, Apr-10	7 taxa	B.1.1	153 days	0.0207
UK401	Mar-02, Jul-10	7 taxa	B.6, B.2.1, B	62 days	0.3495
UK901	Apr-14, Apr-23	7 taxa	B.1.1	140 days	0.0107
UK1090	May-04, Aug-17	7 taxa	B.1	24 days	0.625
UK1005	Mar-31, Apr-19	7 taxa	B.1.1	144 days	0.022
UK1667	Apr-17, Jun-02	7 taxa	B.1, B.1.9	100 days	0.017
UK930	Mar-04, Mar-30	7 taxa	B.1.1	164 days	0.0264
UK638	Mar-02, Apr-04	7 taxa	B.1.1	159 days	0.0231
UK330	Apr-02, Jul-02	7 taxa	B.1, B.1.5	70 days	0.0693
UK2034	Apr-08, Jun-28	7 taxa	B.1.1	74 days	0.1564
UK2098	Mar-28, Jun-24	7 taxa	B.1.1	78 days	0.188
UK1224	Jul-12, Jul-27	7 taxa	B.1.1.1	45 days	0.0556
UK240	Mar-27, Aug-06	7 taxa	B.1	35 days	0.4222
UK703	Mar-29, Apr-17	7 taxa	B.1.1	146 days	0.0163
UK1992	Apr-02, May-05	7 taxa	B.1.1	128 days	0.0247
UK98	Mar-23, Jun-04	7 taxa	B.6	98 days	0.1241
UK1743	Apr-27, Jun-30	7 taxa	B.1.1	72 days	0.142
UK1325	Mar-31, May-17	7 taxa	B.1.1	116 days	0.0675
UK14	Mar-02, May-21	7 taxa	B	112 days	0.0119
UK164	Mar-24, Apr-16	7 taxa	B.2.1	147 days	0.0261
UK464	Mar-17, May-04	7 taxa	B.1.5	129 days	0.0413
UK508	Mar-20, Apr-30	7 taxa	B.1.5.6	133 days	0.0096
UK67	Mar-03, Jul-19	6 taxa	B.4	53 days	0.5208
UK705	Mar-16, Mar-26	6 taxa	B.1	168 days	0.0119
UK1975	Mar-16, Aug-17	6 taxa	B.1.1	24 days	1.2833
UK654	Feb-27, Mar-08	6 taxa	B.2	186 days	0.0108
UK552	Mar-23, Apr-04	6 taxa	A.1	159 days	0.0107
UK635	Mar-17, Apr-15	6 taxa	B.2	148 days	0.0327
UK236	Mar-12, Mar-27	6 taxa	B.2.1, B.2	167 days	0.018
UK650	May-24, Aug-29	6 taxa	B.1.1	12 days	1.6167
UK187	Mar-28, Jun-05	6 taxa	B.1	97 days	0.0094
UK1174	Mar-16, Apr-11	6 taxa	B.1	152 days	0.0342
UK1269	Jun-21, Aug-31	6 taxa	B.1.1.1, B.1.1	10 days	0.8875
UK1833	Mar-17, Jul-14	6 taxa	B.1.1	58 days	0.2931
UK1700	Apr-01, Apr-14	6 taxa	B.1	149 days	0.0174
UK177	Mar-11, Jun-17	6 taxa	B	85 days	0.1471
UK797	Mar-25, Apr-08	6 taxa	B.1.11	155 days	0.0181
UK1971	Mar-23, Jul-01	6 taxa	B.1.1	71 days	0.2817
UK1208	Jul-04, Aug-21	6 taxa	B.1.1.1	20 days	0.48
UK1598	Apr-05, Apr-21	6 taxa	B.1.1	142 days	0.0225
UK783	Mar-12, Apr-20	6 taxa	B.1	143 days	0.0455
UK1640	Apr-16, Apr-21	6 taxa	B.1.1	142 days	0.007
UK787	Mar-12, May-18	6 taxa	B.1.1.33, B.1.1	115 days	0.0971
UK2049	Mar-28, Apr-25	6 taxa	B.1.1	138 days	0.0338
UK943	Mar-29, Jun-24	6 taxa	B.1.1	78 days	0.2231
UK621	Mar-23, Apr-02	6 taxa	A.1	161 days	0.0124
UK1791	Mar-23, May-11	6 taxa	B.1.1	122 days	0.0803
UK1822	Mar-27, Jul-04	6 taxa	B.1.1	68 days	0.2912
UK1081	Apr-07, May-05	6 taxa	B.1.1	128 days	0.0446
UK805	Apr-15, Jul-21	6 taxa	B.1.1	51 days	0.0229
UK778	May-01, Jun-20	6 taxa	B.1.1	82 days	0.122
UK270	Mar-04, Apr-03	6 taxa	B	160 days	0.0312
UK1836	Mar-29, Jun-13	6 taxa	B.1.1	89 days	0.1477
UK105	Mar-23, Apr-21	6 taxa	B.3	142 days	0.0408
UK1596	Apr-16, Jun-16	6 taxa	B.1	86 days	0.1419
UK526	Mar-23, May-18	6 taxa	B.1	115 days	0.0974
UK887	Apr-21, Jul-04	6 taxa	B.1.1	68 days	0.2176
UK161	Mar-18, Apr-04	6 taxa	B.2.4	159 days	0.0153
UK1961	Apr-08, Jun-11	6 taxa	B.1.1	91 days	0.1407
UK564	Jun-07, Jun-25	6 taxa	B.1	77 days	0.0468
UK1412	Mar-25, Apr-29	6 taxa	B.1.1	134 days	0.0522
UK1923	Apr-04, Jul-01	6 taxa	B.1.1	71 days	0.2479
UK1898	Mar-18, Apr-11	6 taxa	B.1.1	152 days	0.0263
UK1083	Mar-22, Aug-12	6 taxa	B.1.1	29 days	0.9862
UK2004	Mar-26, Jun-14	6 taxa	B.1.1	88 days	0.1515
UK947	Jul-16, Jul-18	6 taxa	B.1.1	54 days	0.0074
UK590	Mar-14, Apr-01	6 taxa	B.2.1	162 days	0.0222
UK643	Mar-24, Apr-22	6 taxa	B.2.1	141 days	0.0411
UK1285	May-05, Jul-15	6 taxa	B.1, B.1.5	57 days	0.2491
UK1139	Mar-26, Apr-27	6 taxa	B.1.1	136 days	0.0471
UK1082	May-02, Jun-10	6 taxa	B.1	92 days	0.0848
