Introduction	Northern Ireland	Wales	Scotland	England	Date range	Total sequences	Global lineage	Time since last sample (days)
UK864	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-13, Apr-13	6	B.2.1	19
UK198	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-20, Apr-06	6	B.2.2	26
UK4738	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-04, Apr-17	6	B.1	15
UK204	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-20, Apr-12	6	B.1.13	20
UK2024	0 (0%)	1 (16.67%)	5 (83.33%)	0 (0%)	Mar-18, Apr-13	6	B.1.5	19
UK157	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-24, Apr-03	6	B.1.5	29
UK3192	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-03, Apr-15	6	B.1	17
UK2736	0 (0%)	1 (16.67%)	0 (0%)	5 (83.33%)	Mar-19, Apr-12	6	B.1.7	20
UK2279	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-03, Apr-15	6	B.1	17
UK356	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-23, Apr-07	6	B.2.1	25
UK2916	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-11	6	B.1	21
UK6241	0 (0%)	0 (0%)	6 (100.0%)	0 (0%)	Apr-13, Apr-18	6	B.1.10	14
UK4806	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-05, Apr-14	6	B.1	18
UK2919	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-10	6	B.1	22
UK1350	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-28, Apr-07	6	B.1	25
UK174	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-23, Apr-14	6	B.1	18
UK4133	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Mar-27, Apr-09	6	B.1	23
UK48	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-06, Apr-07	6	B.2	25
UK3870	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-02, Apr-25	6	B.1	7
UK3805	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-30, Apr-13	6	B.1	19
UK1390	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-01, Apr-20	6	B.2.1	12
UK4228	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-30, Apr-14	6	B.1	18
UK3366	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Apr-03, Apr-15	6	B.1.10	17
UK693	0 (0%)	0 (0%)	5 (83.33%)	1 (16.67%)	Mar-31, May-02	6	B.1.11	0
UK1494	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-01, Mar-07	6	B.1	56
UK120	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-20, Mar-31	6	B.1, B.1.7	32
UK804	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-18, Apr-14	6	B.1	18
UK115	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-16, Apr-06	6	B.8	26
UK2867	0 (0%)	6 (100.0%)	0 (0%)	0 (0%)	Apr-05, Apr-10	6	B.1	22
UK54	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-14, Mar-28	6	B.2.1, B.2	35
UK3781	0 (0%)	0 (0%)	0 (0%)	6 (100.0%)	Mar-31, Apr-21	6	B.1	11
